id	utterance_id	role	text	search_query	search_URL	reference_date	terminate	regDate	updDate
BK22008374	1	질문자	와, 지금 밑에 깔리는 이 소리는 무슨 악기지? 되게 저음인데 듣기 좋다.				0	2022-09-14 22:25:56	2022-09-17 15:27:27
BK22008374	2	전문가	아, 이 소리, 콘트라베이스가 내는 소리야. 현악기 중에 가장 크고, 가장 저음을 내는게 콘트라베이스거든.	콘트라베이스	https://ko.wikipedia.org/wiki/콘트라베이스	2022/06/14	0	2022-09-14 22:25:56	2022-09-17 15:27:27
BK22008374	3	질문자	재즈 들을때마다 궁금했는데 이 소리가 콘트라베이스구나. 재즈 공연에서는 콘트라베이스로 독주도 하지?				0	2022-09-14 22:25:56	2022-09-17 15:27:27
BK22008374	4	전문가	응 맞아, 합주나 오케스트라에서는 낮은 음계를 책임지지만 재즈에서는 피치카토 주법을 사용해서 솔로 연주도 해. 콘트라베이스가 리듬부분을 담당하기 때문에 중요하지. 독주자로써의 음악성도 있어야하고.	콘트라베이스 재즈	https://ko.wikipedia.org/wiki/콘트라베이스	2022/06/14	0	2022-09-14 22:25:56	2022-09-29 09:49:15
BK22008374	5	질문자	그래서 재즈 음악이나 공연을 볼 때 유난히 콘트라베이스 소리가 인상적이었나봐. 오케스트라 공연에선 워낙 현악기가 많아서 눈에 잘 안띄었거든. 오케스트라에 가장 많은 악기가 현악기 맞지?				0	2022-09-14 22:25:56	2022-09-17 15:37:25
BK22008374	6	전문가	맞아, 전체 단원의 거의 60퍼센트가 현악기야. 가장 많은 인원수지. 흔히 아는 바이올린, 비올라, 첼로 등이 있고 보통 바이올린 가족이라 불러. 사실 크기만 차이 나지 기본적인 구조나 모양은 똑같아.	오케스트라 현악기	https://www.hankookilbo.com/News/Read/A2021080509310002966	2021/08/05	0	2022-09-14 22:25:56	2022-09-29 09:49:15
BK22008374	7	질문자	오, 크기 차이가 중요한 특징이구나. 비올라랑 바이올린은 거의 비슷한 크기 아닌가? 비올라는 어떤 음을 담당해?				0	2022-09-14 22:25:56	2022-09-17 16:31:37
BK22008374	8	전문가	비올라는 바이올린족 중 가운데 음역을 맡고있어. 너말처럼 크기나 연주할때의 자세가 바이올린이랑 비슷해서 일반 사람들이 구별하기 쉽지않지. 차이점은, 바이올린보다 비올라가 5도 낮은 음으로 조율되고, 바이올린보다 깊고 진한 소리가 나. 그래서 합주할때 멜로디 연주보다는 화음을 담당해.	비올라	https://ko.wikipedia.org/wiki/비올라	2022/08/25	0	2022-09-14 22:25:56	2022-09-17 16:15:57
BK22008374	9	질문자	그렇구나, 그럼 오케스트라 합주를 리드하는 현악기는 뭐야?				0	2022-09-14 22:25:56	2022-09-17 16:15:57
BK22008374	10	전문가	아무래도 합주를 리드하는 악기는 바이올린이라고 할 수 있어. 가장 많기도 하고. 또 바이올린의 네 줄로 네 옥타브 이상의 음역대를 왔다 갔다 하면서 거의 모든 반음, 미분음까지도 연주할 수 있거든. 그러다보니 다른 악기들을 통틀어 가장 풍부한 표현이 가능하고, 다양한 변주를 할 수 있어.	바이올린	https://ko.wikipedia.org/wiki/바이올린	2022/09/16	0	2022-09-14 22:25:56	2022-09-17 16:15:57
BK22008374	11	질문자	바이올린이 가장 섬세한 악기라고 할 수 있겠네. 첼로도 낮은 음역대를 담당하는 악기지?				0	2022-09-14 22:25:56	2022-09-17 16:15:57
BK22008374	12	전문가	맞아, 첼로가 콘트라베이스 다음으로 크기도 커. 비올라보다 한 옥타브 낮은 음역대를 연주할 수 있지.	첼로	https://ko.wikipedia.org/wiki/첼로	2022/08/13	0	2022-09-14 22:25:56	2022-09-17 16:15:57
BK22008374	13	질문자	크기별로 표현하는 음역대가 다른거구나. 바이올린 계열의 악기는 언제부터 많이 연주하기 시작했을까?				0	2022-09-14 22:25:56	2022-09-17 16:31:37
BK22008374	14	전문가	그 역사는 17세기쯤, 이탈리아에서 시작됐어. 사실 이름의 유래가 바이올린이 아니라 전부 비올라에서 비롯된거야.	바이올린족 악기	https://ko.wikipedia.org/wiki/바이올린족	2022/02/15	0	2022-09-14 22:25:56	2022-09-17 16:15:57
BK22008374	15	질문자	오, 비올라가 이름의 시작인건 몰랐네. 바이올린 계열 현악기들은 전부 나무로 만드는거지?				0	2022-09-14 22:25:56	2022-09-17 16:15:57
BK22008374	16	전문가	맞아, 대표적으로 바이올린의 앞판은 비교적 부드러운 가문비나무로 만들고, 뒷판이나 옆판과 머리부분은 단단한 단풍나무로 만드는 식이야. 현악기를 만드는 주 재료, 즉 나무가 좋은 악기를 만드는 키 포인트지. 나무인만큼 나무가 자라는 기후가 악기의 소리를 좌지우지하기도 해.	현악기 나무 재질	https://www.hani.co.kr/arti/culture/culture_general/869821.html	2018/11/13	0	2022-09-14 22:25:56	2022-09-17 16:15:57
BK22008374	17	질문자	와, 그럼 명품악기가 만들어지려면 나무가 나고 자라는 환경부터 전부 고려해야겠네.				0	2022-09-14 22:25:56	2022-09-17 16:31:37
BK22008374	18	전문가	그렇겠지? 알맞은 환경에서 자란 나무를 아주 숙련된 제작자가 다듬어야 명품 악기가 탄생하는거지.				0	2022-09-14 22:25:56	2022-09-17 16:31:37
BK22008374	19	질문자	다음에는 우리 재즈 공연 라이브로 보러가자. 콘트라베이스 솔로 연주도 직접 보고싶어.				1	2022-09-14 22:25:56	2022-09-29 09:49:15
BK22008374	20	전문가	완전 좋지, 다음에 같이 가자.				0	2022-09-14 22:25:56	2022-09-17 16:31:37
